Participant_ID,Gender,Mean_Accuracy,Mean_ResponseTime
1,Unknown,0.8,10.670374002500466
2,Unknown,0.6666666666666666,17.245169742413882
3,Unknown,0.6904761904761905,17.92557463571447
4,Unknown,0.5952380952380952,13.828379921428027
5,Unknown,0.8863636363636364,17.67531873409197
6,Unknown,0.65,33.080196890000295
7,Unknown,0.6571428571428571,14.745318074285713
8,Unknown,0.7142857142857143,6.956587869049621
9,Unknown,0.7631578947368421,19.036470860518563
10,Unknown,0.39473684210526316,15.02106607894568
11,Unknown,0.6818181818181818,15.57808129091493
12,Unknown,0.6444444444444445,8.200871326668292
13,Unknown,0.7857142857142857,17.021875488095073
14,Unknown,0.8787878787878788,18.951980684852142
15,Unknown,0.6666666666666666,9.658791195240891
16,Unknown,0.7333333333333333,9.316312037776678
17,Unknown,0.725,14.501179460001731
18,Unknown,1.0,16.273294002323976
19,Unknown,0.7272727272727273,21.340111030313313
20,Unknown,0.7674418604651163,6.892061879073248
21,Unknown,0.6888888888888889,16.84296341111573
22,Unknown,0.5757575757575758,22.555594603030123
23,Unknown,0.7586206896551724,26.774119865517136
24,Unknown,0.8666666666666667,15.740718673337769
25,Unknown,0.5,19.199255105878418
26,Unknown,0.6764705882352942,20.826279852941457
27,Unknown,0.8,16.43110669000307
28,Unknown,0.675,18.06899780499807
29,Unknown,0.7714285714285715,20.570928305714084
30,Unknown,0.6,19.472159162868877
31,Unknown,0.8529411764705882,20.89548219117526
32,Unknown,0.7058823529411765,20.0270937705885
33,Unknown,0.6764705882352942,21.975178500000553
34,Unknown,0.8181818181818182,16.106811168180272
35,Unknown,0.7073170731707317,13.396404690243909
36,Unknown,0.6285714285714286,19.808899219992703
37,Unknown,0.717948717948718,16.598185730769256
38,Unknown,0.7272727272727273,19.859473366657216
